,Enrichment (2R/1R),Enrichment (3R/2R),Enrichment (3R/1R)
ΔHamiltonian,0.0,1.3427424103713725e-192,6.69830361210858e-188
RBM_likelihood_R1,1.1111154516521871e-08,1.021248828436663e-18,1.8230533988501377e-19
RBM_likelihood_R2,0.001976358360569036,0.3602797766290965,0.09109383234738444
RBM_likelihood_R3,1.0135607561090267e-252,2.044456249517221e-138,2.107804038799636e-135
RBM_likelihood_R4,0.0,6.549483930239338e-193,2.042254731580011e-187
MPBind,1.8683834272270353e-91,2.885602098965247e-45,1.3823069816671413e-43
