,Enrichment (2R/1R),Enrichment (3R/2R),Enrichment (3R/1R)
ΔHamiltonian,0.3028763512563205,0.23175451446361817,0.22895652024449537
RBM_likelihood_R1,-0.04531878141248096,-0.0700185267346542,-0.07152609948752676
RBM_likelihood_R2,0.024551127360950983,0.007260819597374527,0.013409996926139176
RBM_likelihood_R3,0.2646801585922513,0.19682172180097213,0.19467792701946268
RBM_likelihood_R4,0.32409936594758765,0.23193888074361613,0.22866601618316437
MPBind,0.15993572615136964,0.11171286918638651,0.10954764188820883
