,Enrichment (2R/1R),Enrichment (3R/2R),Enrichment (3R/1R)
ΔHamiltonian,0.24489526865258474,0.21841423110357808,0.20473988461030984
RBM_likelihood_R1,-0.04171345775162271,-0.06775527267581101,-0.08740073903805991
RBM_likelihood_R2,0.008178054465501329,-0.006655643506687877,0.0024845853419487385
RBM_likelihood_R3,0.1964874342069404,0.16262405123543516,0.15893380357041104
RBM_likelihood_R4,0.2655772355924966,0.21821780651025768,0.1996117208178691
MPBind,0.12131985061822106,0.0938693032890404,0.08217376634636202
