,Enrichment (2R/1R),Enrichment (3R/2R),Enrichment (3R/1R)
ΔHamiltonian,5.400809468737803e-66,1.540969389447238e-52,3.0090849755532326e-46
RBM_likelihood_R1,0.003985202930070229,2.865293239429961e-06,1.5231109050884226e-09
RBM_likelihood_R2,0.5725734139874503,0.6460759214281793,0.8638875140099713
RBM_likelihood_R3,1.1557965552163782e-42,1.3773981790921873e-29,2.559832520168374e-28
RBM_likelihood_R4,1.0485473647336974e-77,1.911112885767687e-52,5.30229416076533e-44
MPBind,4.401377528213518e-17,8.528108738549953e-11,1.3524813139383499e-08
